sentence,tactic,labels
used spearphishing with PDF attachments containing malicious links that redirected to credential harvesting websites.,Reconnaissance,T1598.003
"used sticky-keys to obtain unauthenticated, privileged console access.",Persistence,T1546.008
used the PowerShell filenames Office365DCOMCheck.ps1 and SystemDiskClean.ps1.,Defense Evasion,T1036
"used  to download payloads, run a reverse shell, and execute malware on the victim's machine.",Execution,T1059.001
used  to remove artifacts from victims.,Defense Evasion,T1070
used UPX to pack files.,Defense Evasion,T1027.002
used various social media channels to spearphish victims.,Initial Access,T1566.003
used VPNs and Outlook Web Access (OWA) to maintain access to victim networks.,Persistence,T1133
use HTTPS for all command and control communication methods.,Command and Control,T1071
uses a batch file that configures the ComSysApp service to autostart in order to establish persistence.,Persistence,T1547.001
uses a batch file to load a DLL into the svchost.exe process.,Privilege Escalation,T1055
uses a command-line interface.,Execution,T1059
uses a command-line interface to interact with systems.,Execution,T1059
uses a copy of tor2web proxy for HTTPS communications.,Command and Control,T1090.003
uses a custom crypter leveraging Microsoft’s CryptoAPI to encrypt C2 traffic.,Command and Control,T1573
"uses a custom encryption algorithm, which consists of XOR and a stream that is similar to the Blum Blum Shub algorithm.",Command and Control,T1573
uses a custom encryption algorithm on data sent back to the C2 server over HTTP.,Command and Control,T1573
uses a customized XOR algorithm to encrypt C2 communications.,Command and Control,T1573
uses a custom packer.,Defense Evasion,T1027.002
uses a custom packing algorithm.,Defense Evasion,T1027.002
uses AES to encrypt C2 communications.,Command and Control,T1573
uses AES to encrypt certain information sent over its C2 channel.,Command and Control,T1573
uses AES to encrypt network communication.,Command and Control,T1573
uses a list of known credentials gathered through credential dumping to guess passwords to accounts as it spreads throughout a network.,Credential Access,T1110
"uses a modified version of pentesting script wmiexec.vbs, which logs into a remote machine using WMI.",Execution,T1047
uses a PowerShell script to launch shellcode that retrieves an additional payload.,Execution,T1059.001
uses AppleScript to create a login item for persistence.,Execution,T1059.002
uses a simple one-byte XOR method to obfuscate values in the malware.,Defense Evasion,T1027
uses a variation of the XOR cipher to encrypt files before exfiltration.,Impact,T1486
uses a virus that propagates by infecting executables stored on shared drives.,Lateral Movement,T1080
uses a WMI event subscription to establish persistence.,Persistence,T1546.003
uses Base64 encoding for C2 traffic.,Command and Control,T1132
uses Base64 encoding for communication in the message body of an HTTP request.,Command and Control,T1132
"uses blogs and third-party sites (GitHub, tumbler, and BlogSpot) to avoid DNS-based blocking of their communication to the command and control server.",Command and Control,T1102
"uses character replacement,  environment variables, and XOR encoding to obfuscate code.",Defense Evasion,T1027
uses cloud based services for C2.,Command and Control,T1102
uses cmd.exe and /bin/bash to execute commands on the victim’s machine.,Execution,T1059
uses cmd.exe to execute commands for discovery.,Execution,T1059
uses cmd.exe to execute commands on the victim’s machine.,Execution,T1059
uses cmd.exe to execute scripts and commands on the victim’s machine.,Execution,T1059
uses cmd.exe to run commands for enumerating the host.,Execution,T1059
uses cmd.exe to set the Registry Run key value. It also has a command to spawn a command shell.,Execution,T1059
uses COM hijacking as a method of persistence.,Persistence,T1546.015
uses command line for execution.,Execution,T1059
uses commands such as netsh interface show to discover network interface settings.,Discovery,T1016
uses credential dumpers such as  and  to extract cached credentials from Windows systems.,Credential Access,T1003
uses custom base64 encoding to obfuscate HTTP traffic.,Command and Control,T1132
uses DLL search order hijacking for persistence by saving itself as ntshrui.dll to the Windows directory so it will load before the legitimate ntshrui.dll saved in the System32 subdirectory.,Persistence,T1574.001
"uses DLL side-loading, typically using a digitally signed sample of Kaspersky Anti-Virus (AV) 6.0 for Windows Workstations or McAfee's Outlook Scan About Box to load malicious DLL files.",Persistence,T1574.002
uses DLL side-loading to load malicious programs.,Persistence,T1574.002
uses DNS as its C2 protocol.,Command and Control,T1071
uses DNS for C2.,Command and Control,T1071
uses DNS for the C2 communications.,Command and Control,T1071
uses DNS TXT records for C2.,Command and Control,T1071
uses Domain Fronting to disguise the destination of network traffic as another server that is hosted in the same Content Delivery Network (CDN) as the intended desitnation.,Command and Control,T1090.004
uses encrypted Windows APIs and also encrypts data using the alternative base64+RC4 or the Caesar cipher.,Defense Evasion,T1027
uses FakeTLS to communicate with its C2 server.,Command and Control,T1573
"uses fake Transport Layer Security (TLS) to communicate with its C2 server, encoding data with RC4 encryption.",Command and Control,T1573
"uses file and folder names related to legitimate programs in order to blend in, such as HP, Intel, Adobe, and perflogs.",Defense Evasion,T1036
uses FTP for command and control.,Command and Control,T1071
uses GET and POST requests over HTTP or HTTPS for command and control to obtain commands and send ZLIB compressed data back to the C2 server.,Command and Control,T1071
"uses HTTP, HTTPS, FTP, and FTPS to communicate with the C2 server.  can also act as a webserver and listen for inbound HTTP requests through an exposed API.",Command and Control,T1071
uses HTTP and HTTPS for C2.,Command and Control,T1071
uses HTTP and HTTPS for command and control.,Command and Control,T1071
uses HTTP and HTTPS to communicate with the C2 server.,Command and Control,T1071
uses HTTP as a transport to communicate with its command server.,Command and Control,T1071
uses HTTP for C2.,Command and Control,T1071
uses HTTP for C2 communication.,Command and Control,T1071
uses HTTP for C2 communications.,Command and Control,T1071
